Service description,Service ID,Cost (kr.),Savings programs (kr.),Other savings (kr.),Unrounded subtotal (kr.),Subtotal (kr.),Percent change in subtotal compared to previous period
Cloud Run,152E-C115-5142,0.20,0.00,-0.20,0.000000,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,0.09,0.00,-0.09,-0.000001,-0.00,0%
Artifact Registry,149C-F9EC-3994,0.02,0.00,-0.02,-0.000008,-0.00,0%
,,,,Subtotal,0.000000,0.00
,,,,Tax,0.000000,0.00
,,,,Filtered total,0.000000,0.00
